time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.0298281257,0.0323298394,0.0382954646,0.0371408274,0.037718146,0.0152027221,0.0061580647
1,0.0074199318,0.0080422486,0.009526235,0.0092390118,0.0093826234,0.0037817717,0.0015318569
2,0.0044519591,0.0048253492,0.005715741,0.0055434071,0.005629574,0.002269063,0.0009191141
3,0.0022259795,0.0024126746,0.0028578705,0.0027717035,0.002814787,0.0011345315,0.0004595571
4,0.0007419932,0.0008042249,0.0009526235,0.0009239012,0.0009382623,0.0003781772,0.0001531857
5,0.0008903918,0.0009650698,0.0011431482,0.0011086814,0.0011259148,0.0004538126,0.0001838228
6,0.0007419932,0.0008042249,0.0009526235,0.0009239012,0.0009382623,0.0003781772,0.0001531857
7,0.0013355877,0.0014476048,0.0017147223,0.0016630221,0.0016888722,0.0006807189,0.0002757342
8,0.0035615672,0.0038602793,0.0045725928,0.0044347257,0.0045036592,0.0018152504,0.0007352913
9,0.0028195741,0.0030560545,0.0036199693,0.0035108245,0.0035653969,0.0014370732,0.0005821056
10,0.0072715331,0.0078814036,0.0093357103,0.0090542316,0.0091949709,0.0037061362,0.0015012197
11,0.0046003577,0.0049861941,0.0059062657,0.0057281873,0.0058172265,0.0023446984,0.0009497513
12,0.0046003577,0.0049861941,0.0059062657,0.0057281873,0.0058172265,0.0023446984,0.0009497513
13,0.0069747359,0.0075597137,0.0089546609,0.0086846711,0.008819666,0.0035548654,0.0014399455
14,0.0111298976,0.0120633729,0.0142893524,0.0138585177,0.0140739351,0.0056726575,0.0022977853
15,0.0103879045,0.0112591481,0.0133367289,0.0129346165,0.0131356727,0.0052944803,0.0021445996
16,0.0041551618,0.0045036592,0.0053346916,0.0051738466,0.0052542691,0.0021177921,0.0008578399
17,0.0031163713,0.0033777444,0.0040010187,0.003880385,0.0039407018,0.0015883441,0.0006433799
18,0.0010387904,0.0011259148,0.0013336729,0.0012934617,0.0013135673,0.000529448,0.00021446
19,0.0001483986,0.000160845,0.0001905247,0.0001847802,0.0001876525,0.0,0.0
20,0.0258213625,0.0279870252,0.0331512977,0.0321517611,0.0326515294,0.0131605654,0.0053308619
21,0.006084344,0.0065946439,0.0078115127,0.0075759897,0.0076937512,0.0031010528,0.0012561226
22,0.0063811413,0.0069163338,0.0081925621,0.0079455501,0.0080690561,0.0032523236,0.0013173969
23,0.0059359454,0.0064337989,0.007620988,0.0073912094,0.0075060987,0.0030254173,0.0012254855
