time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.002568543,0.005319153,0.006497259,0.005162653,0.006464555,0.008365318,0.0047625
1,0.002185583,0.004526087,0.005528542,0.004392921,0.005500714,0.00711808,0.004052429
2,0.002263688,0.004687834,0.005726114,0.004549909,0.005697291,0.007372457,0.004197249
3,0.002724938,0.005643029,0.006892869,0.005477,0.006858173,0.008874671,0.005052482
4,0.002980798,0.006172885,0.007540079,0.005991266,0.007502125,0.009707964,0.005526888
5,0.002700101,0.005591593,0.006830041,0.005427078,0.006795661,0.008793779,0.005006429
6,0.002364223,0.004896028,0.00598042,0.004751978,0.005950317,0.007699879,0.004383655
7,0.002403836,0.004978064,0.006080625,0.0048316,0.006050018,0.007828895,0.004457106
8,0.002290382,0.004743113,0.005793636,0.004603561,0.005764473,0.007459392,0.004246742
9,0.002326421,0.004817747,0.0058848,0.004675999,0.005855178,0.007576767,0.004313566
10,0.001832202,0.003794276,0.004634647,0.003682641,0.004611318,0.005967177,0.003397203
11,0.002263037,0.004686485,0.005724466,0.0045486,0.005695651,0.007370335,0.004196041
12,0.002287229,0.004736585,0.005785662,0.004597225,0.005756539,0.007449126,0.004240898
13,0.002120333,0.004390961,0.005363488,0.004261771,0.005336491,0.006905571,0.003931444
14,0.002304908,0.004773195,0.005830381,0.004632759,0.005801033,0.007506702,0.004273677
15,0.002760013,0.005715665,0.006981592,0.005547499,0.00694645,0.008988904,0.005117516
16,0.003320738,0.006876861,0.008399974,0.00667453,0.008357692,0.010815092,0.006157192
17,0.003113288,0.006447255,0.007875218,0.006257564,0.007835577,0.01013946,0.005772545
18,0.002778528,0.005754006,0.007028426,0.005584712,0.006993047,0.009049203,0.005151845
19,0.002511142,0.005200282,0.00635206,0.005047279,0.006320086,0.008178372,0.004656068
20,0.004242188,0.008785074,0.010730826,0.0085266,0.010676812,0.013816099,0.00786571
21,0.004517918,0.00935608,0.0114283,0.009080805,0.011370775,0.014714107,0.008376959
22,0.003997501,0.008278357,0.01011188,0.008034792,0.010060981,0.013019196,0.007412021
23,0.002767002,0.005730138,0.006999271,0.005561546,0.006964039,0.009011665,0.005130475
